time,l_leg_ankle_pitch_joint,l_leg_ankle_roll_joint,r_leg_ankle_pitch_joint,r_leg_ankle_roll_joint
0.446000,-0.092264,0.033189,-0.092264,0.033189
0.448000,-0.091945,0.033334,-0.091945,0.033334
0.450000,-0.091626,0.033479,-0.091626,0.033479
0.452000,-0.091308,0.033624,-0.091308,0.033624
0.454000,-0.090990,0.033768,-0.090990,0.033768
0.456000,-0.090673,0.033913,-0.090673,0.033913
0.458000,-0.090357,0.034058,-0.090357,0.034058
0.460000,-0.090041,0.034202,-0.090041,0.034202
0.462000,-0.089725,0.034347,-0.089725,0.034347
0.464000,-0.089410,0.034491,-0.089410,0.034491
0.466000,-0.089096,0.034636,-0.089096,0.034636
0.468000,-0.088782,0.034780,-0.088782,0.034780
0.470000,-0.088469,0.034924,-0.088469,0.034924
0.472000,-0.088156,0.035069,-0.088156,0.035069
0.474000,-0.087843,0.035213,-0.087843,0.035213
0.476000,-0.087532,0.035357,-0.087532,0.035357
0.478000,-0.087220,0.035501,-0.087220,0.035501
0.480000,-0.086910,0.035645,-0.086910,0.035645
0.482000,-0.086599,0.035789,-0.086599,0.035789
0.484000,-0.086290,0.035933,-0.086290,0.035933
0.486000,-0.085981,0.036077,-0.085981,0.036077
0.488000,-0.085672,0.036220,-0.085672,0.036220
0.490000,-0.085364,0.036364,-0.085364,0.036364
0.492000,-0.085057,0.036508,-0.085057,0.036508
0.494000,-0.084750,0.036652,-0.084750,0.036652
0.496000,-0.084443,0.036795,-0.084443,0.036795
0.498000,-0.084137,0.036939,-0.084137,0.036939
0.500000,-0.083832,0.037082,-0.083832,0.037082
0.502000,-0.083527,0.037225,-0.083527,0.037225
0.504000,-0.083223,0.037369,-0.083223,0.037369
0.506000,-0.082920,0.037512,-0.082920,0.037512
0.508000,-0.082617,0.037655,-0.082617,0.037655
0.510000,-0.082314,0.037798,-0.082314,0.037798
0.512000,-0.082012,0.037941,-0.082012,0.037941
0.514000,-0.081711,0.038085,-0.081711,0.038085
0.516000,-0.081410,0.038227,-0.081410,0.038227
0.518000,-0.081110,0.038370,-0.081110,0.038370
0.520000,-0.080810,0.038513,-0.080810,0.038513
0.522000,-0.080511,0.038656,-0.080511,0.038656
