time,l_arm_shoulder_pitch_joint,l_arm_shoulder_roll_joint,l_arm_shoulder_yaw_joint,l_arm_elbow_joint,r_arm_shoulder_pitch_joint,r_arm_shoulder_roll_joint,r_arm_shoulder_yaw_joint,r_arm_elbow_joint
2.758000,0.241190,0.187511,0.000000,0.274209,0.000000,-0.261800,0.000000,0.000000
2.760000,0.239591,0.187418,0.000000,0.273625,0.000000,-0.261800,0.000000,0.000000
2.762000,0.237984,0.187326,0.000000,0.273040,0.000000,-0.261800,0.000000,0.000000
2.764000,0.236366,0.187234,0.000000,0.272455,0.000000,-0.261800,0.000000,0.000000
2.766000,0.234740,0.187144,0.000000,0.271869,0.000000,-0.261800,0.000000,0.000000
2.768000,0.233104,0.187054,0.000000,0.271282,0.000000,-0.261800,0.000000,0.000000
2.770000,0.231459,0.186964,0.000000,0.270695,0.000000,-0.261800,0.000000,0.000000
2.772000,0.229805,0.186876,0.000000,0.270107,0.000000,-0.261800,0.000000,0.000000
2.774000,0.228142,0.186788,0.000000,0.269518,0.000000,-0.261800,0.000000,0.000000
2.776000,0.226470,0.186701,0.000000,0.268929,0.000000,-0.261800,0.000000,0.000000
2.778000,0.224788,0.186615,0.000000,0.268338,0.000000,-0.261800,0.000000,0.000000
2.780000,0.223098,0.186530,0.000000,0.267748,0.000000,-0.261800,0.000000,0.000000
2.782000,0.221400,0.186445,0.000000,0.267156,0.000000,-0.261800,0.000000,0.000000
2.784000,0.219692,0.186361,0.000000,0.266564,0.000000,-0.261800,0.000000,0.000000
2.786000,0.217976,0.186277,0.000000,0.265971,0.000000,-0.261800,0.000000,0.000000
2.788000,0.216251,0.186195,0.000000,0.265378,0.000000,-0.261800,0.000000,0.000000
2.790000,0.214517,0.186113,0.000000,0.264783,0.000000,-0.261800,0.000000,0.000000
2.792000,0.212776,0.186032,0.000000,0.264189,0.000000,-0.261800,0.000000,0.000000
2.794000,0.211025,0.185952,0.000000,0.263593,0.000000,-0.261800,0.000000,0.000000
2.796000,0.209267,0.185872,0.000000,0.262997,0.000000,-0.261800,0.000000,0.000000
2.798000,0.207500,0.185794,0.000000,0.262401,0.000000,-0.261800,0.000000,0.000000
2.800000,0.205725,0.185715,0.000000,0.261803,0.000000,-0.261800,0.000000,0.000000
2.802000,0.203942,0.185638,0.000000,0.261206,0.000000,-0.261800,0.000000,0.000000
2.804000,0.202150,0.185562,0.000000,0.260607,0.000000,-0.261800,0.000000,0.000000
2.806000,0.200351,0.185486,0.000000,0.260008,0.000000,-0.261800,0.000000,0.000000
2.808000,0.198544,0.185411,0.000000,0.259408,0.000000,-0.261800,0.000000,0.000000
2.810000,0.196729,0.185337,0.000000,0.258808,0.000000,-0.261800,0.000000,0.000000
2.812000,0.194906,0.185263,0.000000,0.258207,0.000000,-0.261800,0.000000,0.000000
2.814000,0.193076,0.185190,0.000000,0.257606,0.000000,-0.261800,0.000000,0.000000
2.816000,0.191238,0.185118,0.000000,0.257004,0.000000,-0.261800,0.000000,0.000000
2.818000,0.189392,0.185047,0.000000,0.256401,0.000000,-0.261800,0.000000,0.000000
2.820000,0.187539,0.184977,0.000000,0.255798,0.000000,-0.261800,0.000000,0.000000
2.822000,0.185679,0.184907,0.000000,0.255195,0.000000,-0.261800,0.000000,0.000000
2.824000,0.183811,0.184838,0.000000,0.254590,0.000000,-0.261800,0.000000,0.000000
2.826000,0.181936,0.184770,0.000000,0.253986,0.000000,-0.261800,0.000000,0.000000
2.828000,0.180054,0.184702,0.000000,0.253380,0.000000,-0.261800,0.000000,0.000000
2.830000,0.178164,0.184635,0.000000,0.252775,0.000000,-0.261800,0.000000,0.000000
2.832000,0.176268,0.184569,0.000000,0.252168,0.000000,-0.261800,0.000000,0.000000
2.834000,0.174365,0.184504,0.000000,0.251561,0.000000,-0.261800,0.000000,0.000000
2.836000,0.172455,0.184440,0.000000,0.250954,0.000000,-0.261800,0.000000,0.000000
2.838000,0.170538,0.184376,0.000000,0.250346,0.000000,-0.261800,0.000000,0.000000
2.840000,0.168614,0.184313,0.000000,0.249738,0.000000,-0.261800,0.000000,0.000000
2.842000,0.166683,0.184251,0.000000,0.249129,0.000000,-0.261800,0.000000,0.000000
2.844000,0.164746,0.184190,0.000000,0.248520,0.000000,-0.261800,0.000000,0.000000
2.846000,0.162803,0.184129,0.000000,0.247910,0.000000,-0.261800,0.000000,0.000000
2.848000,0.160853,0.184069,0.000000,0.247300,0.000000,-0.261800,0.000000,0.000000
2.850000,0.158897,0.184010,0.000000,0.246689,0.000000,-0.261800,0.000000,0.000000
2.852000,0.156934,0.183952,0.000000,0.246078,0.000000,-0.261800,0.000000,0.000000
2.854000,0.154965,0.183895,0.000000,0.245466,0.000000,-0.261800,0.000000,0.000000
2.856000,0.152991,0.183838,0.000000,0.244854,0.000000,-0.261800,0.000000,0.000000
2.858000,0.151010,0.183782,0.000000,0.244242,0.000000,-0.261800,0.000000,0.000000
2.860000,0.149023,0.183727,0.000000,0.243629,0.000000,-0.261800,0.000000,0.000000
2.862000,0.147030,0.183672,0.000000,0.243015,0.000000,-0.261800,0.000000,0.000000
2.864000,0.145031,0.183619,0.000000,0.242401,0.000000,-0.261800,0.000000,0.000000
2.866000,0.143027,0.183566,0.000000,0.241787,0.000000,-0.261800,0.000000,0.000000
2.868000,0.141017,0.183514,0.000000,0.241173,0.000000,-0.261800,0.000000,0.000000
2.870000,0.139002,0.183462,0.000000,0.240557,0.000000,-0.261800,0.000000,0.000000
2.872000,0.136981,0.183412,0.000000,0.239942,0.000000,-0.261800,0.000000,0.000000
2.874000,0.134954,0.183362,0.000000,0.239326,0.000000,-0.261800,0.000000,0.000000
2.876000,0.132923,0.183313,0.000000,0.238710,0.000000,-0.261800,0.000000,0.000000
2.878000,0.130886,0.183265,0.000000,0.238093,0.000000,-0.261800,0.000000,0.000000
2.880000,0.128844,0.183217,0.000000,0.237476,0.000000,-0.261800,0.000000,0.000000
2.882000,0.126796,0.183170,0.000000,0.236859,0.000000,-0.261800,0.000000,0.000000
2.884000,0.124744,0.183124,0.000000,0.236241,0.000000,-0.261800,0.000000,0.000000
2.886000,0.122687,0.183079,0.000000,0.235623,0.000000,-0.261800,0.000000,0.000000
2.888000,0.120625,0.183035,0.000000,0.235005,0.000000,-0.261800,0.000000,0.000000
2.890000,0.118558,0.182991,0.000000,0.234386,0.000000,-0.261800,0.000000,0.000000
2.892000,0.116487,0.182948,0.000000,0.233767,0.000000,-0.261800,0.000000,0.000000
2.894000,0.114411,0.182906,0.000000,0.233147,0.000000,-0.261800,0.000000,0.000000
2.896000,0.112330,0.182865,0.000000,0.232527,0.000000,-0.261800,0.000000,0.000000
2.898000,0.110245,0.182825,0.000000,0.231907,0.000000,-0.261800,0.000000,0.000000
2.900000,0.108156,0.182785,0.000000,0.231287,0.000000,-0.261800,0.000000,0.000000
2.902000,0.106062,0.182746,0.000000,0.230666,0.000000,-0.261800,0.000000,0.000000
2.904000,0.103965,0.182708,0.000000,0.230045,0.000000,-0.261800,0.000000,0.000000
2.906000,0.101863,0.182670,0.000000,0.229424,0.000000,-0.261800,0.000000,0.000000
2.908000,0.099757,0.182634,0.000000,0.228802,0.000000,-0.261800,0.000000,0.000000
2.910000,0.097647,0.182598,0.000000,0.228180,0.000000,-0.261800,0.000000,0.000000
2.912000,0.095533,0.182563,0.000000,0.227558,0.000000,-0.261800,0.000000,0.000000
2.914000,0.093416,0.182529,0.000000,0.226936,0.000000,-0.261800,0.000000,0.000000
2.916000,0.091295,0.182495,0.000000,0.226313,0.000000,-0.261800,0.000000,0.000000
2.918000,0.089170,0.182463,0.000000,0.225690,0.000000,-0.261800,0.000000,0.000000
2.920000,0.087041,0.182431,0.000000,0.225067,0.000000,-0.261800,0.000000,0.000000
2.922000,0.084910,0.182400,0.000000,0.224443,0.000000,-0.261800,0.000000,0.000000
2.924000,0.082775,0.182369,0.000000,0.223819,0.000000,-0.261800,0.000000,0.000000
2.926000,0.080636,0.182340,0.000000,0.223195,0.000000,-0.261800,0.000000,0.000000
2.928000,0.078495,0.182311,0.000000,0.222571,0.000000,-0.261800,0.000000,0.000000
2.930000,0.076350,0.182283,0.000000,0.221947,0.000000,-0.261800,0.000000,0.000000
2.932000,0.074202,0.182256,0.000000,0.221322,0.000000,-0.261800,0.000000,0.000000
2.934000,0.072052,0.182230,0.000000,0.220697,0.000000,-0.261800,0.000000,0.000000
2.936000,0.069898,0.182204,0.000000,0.220072,0.000000,-0.261800,0.000000,0.000000
2.938000,0.067742,0.182179,0.000000,0.219447,0.000000,-0.261800,0.000000,0.000000
2.940000,0.065583,0.182155,0.000000,0.218822,0.000000,-0.261800,0.000000,0.000000
2.942000,0.063422,0.182132,0.000000,0.218196,0.000000,-0.261800,0.000000,0.000000
2.944000,0.061258,0.182109,0.000000,0.217570,0.000000,-0.261800,0.000000,0.000000
2.946000,0.059092,0.182088,0.000000,0.216944,0.000000,-0.261800,0.000000,0.000000
2.948000,0.056923,0.182067,0.000000,0.216318,0.000000,-0.261800,0.000000,0.000000
2.950000,0.054752,0.182047,0.000000,0.215692,0.000000,-0.261800,0.000000,0.000000
2.952000,0.052579,0.182027,0.000000,0.215065,0.000000,-0.261800,0.000000,0.000000
2.954000,0.050404,0.182009,0.000000,0.214439,0.000000,-0.261800,0.000000,0.000000
2.956000,0.048227,0.181991,0.000000,0.213812,0.000000,-0.261800,0.000000,0.000000
2.958000,0.046048,0.181974,0.000000,0.213185,0.000000,-0.261800,0.000000,0.000000
2.960000,0.043867,0.181958,0.000000,0.212558,0.000000,-0.261800,0.000000,0.000000
2.962000,0.041684,0.181942,0.000000,0.211931,0.000000,-0.261800,0.000000,0.000000
2.964000,0.039500,0.181928,0.000000,0.211304,0.000000,-0.261800,0.000000,0.000000
2.966000,0.037314,0.181914,0.000000,0.210676,0.000000,-0.261800,0.000000,0.000000
2.968000,0.035127,0.181901,0.000000,0.210049,0.000000,-0.261800,0.000000,0.000000
2.970000,0.032938,0.181889,0.000000,0.209421,0.000000,-0.261800,0.000000,0.000000
2.972000,0.030748,0.181877,0.000000,0.208794,0.000000,-0.261800,0.000000,0.000000
2.974000,0.028557,0.181867,0.000000,0.208166,0.000000,-0.261800,0.000000,0.000000
2.976000,0.026364,0.181857,0.000000,0.207538,0.000000,-0.261800,0.000000,0.000000
2.978000,0.024171,0.181848,0.000000,0.206910,0.000000,-0.261800,0.000000,0.000000
2.980000,0.021977,0.181839,0.000000,0.206282,0.000000,-0.261800,0.000000,0.000000
