time,waist_roll_joint,waist_pitch_joint
0.510000,0.054976,0.104354
0.512000,0.055184,0.104705
0.514000,0.055392,0.105056
0.516000,0.055600,0.105406
0.518000,0.055807,0.105755
0.520000,0.056015,0.106104
0.522000,0.056223,0.106452
0.524000,0.056430,0.106799
0.526000,0.056638,0.107146
0.528000,0.056845,0.107492
0.530000,0.057053,0.107837
0.532000,0.057260,0.108181
0.534000,0.057467,0.108525
0.536000,0.057674,0.108868
0.538000,0.057881,0.109211
0.540000,0.058088,0.109553
0.542000,0.058295,0.109894
0.544000,0.058501,0.110234
0.546000,0.058708,0.110574
0.548000,0.058915,0.110913
0.550000,0.059121,0.111251
0.552000,0.059327,0.111589
0.554000,0.059533,0.111926
0.556000,0.059740,0.112262
0.558000,0.059946,0.112598
0.560000,0.060152,0.112933
0.562000,0.060357,0.113267
0.564000,0.060563,0.113600
0.566000,0.060769,0.113933
0.568000,0.060974,0.114265
0.570000,0.061180,0.114596
0.572000,0.061385,0.114926
0.574000,0.061590,0.115256
0.576000,0.061796,0.115585
0.578000,0.062001,0.115913
0.580000,0.062206,0.116241
0.582000,0.062410,0.116568
0.584000,0.062615,0.116894
0.586000,0.062820,0.117219
0.588000,0.063025,0.117544
0.590000,0.063229,0.117868
0.592000,0.063433,0.118191
0.594000,0.063638,0.118513
0.596000,0.063842,0.118835
0.598000,0.064046,0.119156
0.600000,0.064250,0.119476
0.602000,0.064454,0.119795
0.604000,0.064657,0.120114
0.606000,0.064861,0.120432
0.608000,0.065065,0.120749
0.610000,0.065268,0.121065
0.612000,0.065472,0.121381
0.614000,0.065675,0.121696
0.616000,0.065878,0.122010
0.618000,0.066081,0.122323
0.620000,0.066284,0.122636
0.622000,0.066487,0.122947
0.624000,0.066690,0.123258
0.626000,0.066892,0.123568
0.628000,0.067095,0.123878
0.630000,0.067297,0.124186
0.632000,0.067499,0.124494
0.634000,0.067702,0.124801
0.636000,0.067904,0.125108
0.638000,0.068106,0.125413
0.640000,0.068308,0.125718
0.642000,0.068509,0.126022
0.644000,0.068711,0.126325
0.646000,0.068913,0.126627
0.648000,0.069114,0.126928
0.650000,0.069315,0.127229
0.652000,0.069517,0.127529
0.654000,0.069718,0.127828
0.656000,0.069919,0.128126
0.658000,0.070120,0.128424
0.660000,0.070320,0.128720
0.662000,0.070521,0.129016
0.664000,0.070722,0.129311
0.666000,0.070922,0.129605
0.668000,0.071122,0.129899
0.670000,0.071323,0.130191
0.672000,0.071523,0.130483
0.674000,0.071723,0.130774
0.676000,0.071923,0.131064
0.678000,0.072123,0.131353
0.680000,0.072322,0.131642
0.682000,0.072522,0.131929
0.684000,0.072721,0.132216
0.686000,0.072920,0.132502
0.688000,0.073120,0.132787
0.690000,0.073319,0.133071
0.692000,0.073518,0.133355
0.694000,0.073717,0.133637
0.696000,0.073915,0.133919
0.698000,0.074114,0.134200
0.700000,0.074313,0.134480
0.702000,0.074511,0.134759
0.704000,0.074709,0.135037
0.706000,0.074907,0.135315
0.708000,0.075105,0.135592
0.710000,0.075303,0.135867
0.712000,0.075501,0.136142
0.714000,0.075699,0.136416
0.716000,0.075896,0.136689
0.718000,0.076094,0.136962
0.720000,0.076291,0.137233
0.722000,0.076488,0.137504
0.724000,0.076685,0.137774
0.726000,0.076882,0.138042
0.728000,0.077079,0.138310
0.730000,0.077276,0.138577
0.732000,0.077472,0.138844
0.734000,0.077669,0.139109
0.736000,0.077865,0.139374
0.738000,0.078062,0.139637
0.740000,0.078258,0.139900
0.742000,0.078454,0.140162
0.744000,0.078649,0.140423
0.746000,0.078845,0.140683
0.748000,0.079041,0.140942
0.750000,0.079236,0.141200
0.752000,0.079432,0.141457
0.754000,0.079627,0.141714
0.756000,0.079822,0.141970
0.758000,0.080017,0.142224
0.760000,0.080212,0.142478
0.762000,0.080407,0.142731
0.764000,0.080601,0.142983
0.766000,0.080796,0.143234
0.768000,0.080990,0.143484
0.770000,0.081184,0.143734
0.772000,0.081378,0.143982
0.774000,0.081572,0.144229
0.776000,0.081766,0.144476
0.778000,0.081960,0.144722
0.780000,0.082153,0.144966
0.782000,0.082347,0.145210
0.784000,0.082540,0.145453
0.786000,0.082733,0.145695
0.788000,0.082926,0.145936
0.790000,0.083119,0.146176
0.792000,0.083312,0.146415
0.794000,0.083505,0.146654
0.796000,0.083697,0.146891
0.798000,0.083890,0.147128
0.800000,0.084082,0.147363
0.802000,0.084274,0.147598
0.804000,0.084466,0.147831
0.806000,0.084658,0.148064
0.808000,0.084850,0.148296
0.810000,0.085041,0.148527
0.812000,0.085233,0.148756
0.814000,0.085424,0.148985
0.816000,0.085615,0.149213
0.818000,0.085806,0.149441
0.820000,0.085997,0.149667
0.822000,0.086188,0.149892
0.824000,0.086379,0.150116
0.826000,0.086569,0.150339
0.828000,0.086759,0.150562
0.830000,0.086950,0.150783
0.832000,0.087140,0.151004
0.834000,0.087330,0.151223
0.836000,0.087520,0.151442
0.838000,0.087709,0.151659
0.840000,0.087899,0.151876
0.842000,0.088088,0.152091
0.844000,0.088278,0.152306
0.846000,0.088467,0.152520
0.848000,0.088656,0.152733
0.850000,0.088844,0.152944
0.852000,0.089033,0.153155
0.854000,0.089222,0.153365
0.856000,0.089410,0.153574
0.858000,0.089598,0.153782
0.860000,0.089787,0.153989
0.862000,0.089975,0.154195
0.864000,0.090163,0.154400
0.866000,0.090350,0.154604
0.868000,0.090538,0.154807
